"NAME","Virus","LAT","LONG","OB_DEATH","OB_END_YEAR","PLOTLY_DATE","DATETIME","CS_DEATH","HEADER_NAMES"
"Khartoum hospital","Ebola Sudan","15.56667","32.51667","151","1976","1976-11-25","1976-11-25","1551","Year Outbreak Ended"
"Omdurman hospital","Ebola Sudan","15.64228","32.48741","151","1976","1976-11-25","1976-11-25","1702","Outbreak Date"
"Nzara (Cotton Factory)","Ebola Sudan","4.63912","28.25115","151","1976","1976-11-25","1976-11-25","1853","Cumulative Sum - Deaths"
"Juba hospital","Ebola Sudan","4.82768","31.59637","151","1976","1976-11-25","1976-11-25","2004",""
"Maridi township","Ebola Sudan","4.91599","29.46482","151","1976","1976-11-25","1976-11-25","2155",""
"Maridi General Hospital","Ebola Sudan","4.91599","29.46482","151","1976","1976-11-25","1976-11-25","2306",""
"Nzara township","Ebola Sudan","4.63912","28.25115","151","1976","1976-11-25","1976-11-25","2457",""
"Nzara hospital","Ebola Sudan","4.64247","28.24864","151","1976","1976-11-25","1976-11-25","2608",""
"Tembura (Tambura in GMs)","Ebola Sudan","5.60639","27.47306","151","1976","1976-11-25","1976-11-25","2759",""
"Nzara town","Ebola Sudan","4.639","28.25115","22","1979","1979-10-06","1979-10-06","2782",""
"Nzara hospital","Ebola Sudan","4.639","28.25115","22","1979","1979-10-06","1979-10-06","2804",""
"15km radius around Nzara","Ebola Sudan","4.63912","28.25115","22","1979","1979-10-06","1979-10-06","2826",""
"15km radius around Yambio","Ebola Sudan","4.57757","28.39878","22","1979","1979-10-06","1979-10-06","2848",""
"Gulu regional referral hospital","Ebola Sudan","2.77768","32.29835","224","2001","2001-01-09","2001-01-09","6325",""
"Masindi hospital","Ebola Sudan","1.68537","31.71331","224","2001","2001-01-09","2001-01-09","6549",""
"Lacor Hospital","Ebola Sudan","2.76761","32.25334","224","2001","2001-01-09","2001-01-09","6773",""
"Mbarara hospital","Ebola Sudan","-0.61158","30.65154","224","2001","2001-01-09","2001-01-09","6997",""
"Mbarara district","Ebola Sudan","-0.56762","30.56905","224","2001","2001-01-09","2001-01-09","7221",""
"Rwot-Obilo","Ebola Sudan","2.94998","32.19997","224","2001","2001-01-09","2001-01-09","7445",""
"Masindi district","Ebola Sudan","1.74679","31.71168","224","2001","2001-01-09","2001-01-09","7669",""
"Gulu district","Ebola Sudan","2.83664","32.42975","224","2001","2001-01-09","2001-01-09","7893",""
"Yambio county","Ebola Sudan","4.6282","28.45036","7","2004","2004-06-26","2004-06-26","10144",""
"Forest 40km South of Yambio town","Ebola Sudan","4.43149","28.7054","7","2004","2004-06-26","2004-06-26","10151",""
"Yambio town","Ebola Sudan","4.57757","28.39878","7","2004","2004-06-26","2004-06-26","10158",""
"Nakisamata village (Luwero District)","Ebola Sudan","0.62415","32.73669","1","2011","2011-05-06","2011-05-06","11701",""
"Kibaale district","Ebola Sudan","0.95002","31.06358","4","2012","2012-08-15","2012-08-15","11705",""
"""""""""Nyanswiga village, Nyamarunda, Buyanja  (Kibaale District) (index)""""""""","Ebola Sudan","0.86599","30.92654","4","2012","2012-08-15","2012-08-15","11709",""
"Nyanswiga village (secondary)","Ebola Sudan","0.86599","30.92654","4","2012","2012-08-15","2012-08-15","11713",""
"Luwero district (secondary)","Ebola Sudan","0.83175","32.58253","3","2012","2012-11-17","2012-11-17","11755",""
"Jinja district","Ebola Sudan","0.56842","33.21263","3","2012","2012-11-17","2012-11-17","11758",""
"Luwero district (index)","Ebola Sudan","0.83175","32.58253","3","2012","2012-11-17","2012-11-17","11761",""
"Nakasongola district","Ebola Sudan","1.35491","32.42471","3","2012","2012-11-17","2012-11-17","11764",""
